;year;language;geonames_name;geonames_country;geonames_id;geonames_lat;geonames_lng;weight;country_codes;germany;map_year;region_country_name;pozn.
16484;1873;rus;Riga;Latvia;456172;56.946;24.10589;1.0;LVA;;1815;Latvia;
20083;1874;slv;Ljubljana;Slovenia;3196359;46.05108;14.50513;1.0;SVN;;1815;Slovenia;
15447;1874;rus;Kyiv;Ukraine;703448;50.45466;30.5238;1.0;UKR;;1815;Ukraine;
15147;1874;ger;Munich;Germany;2867714;48.13743;11.57549;1.0;DEU;;1815;West Germany;
20060;1874;hrv;Kraljevica;Croatia;3197390;45.27395;14.5683;1.0;HRV;;1815;Croatia;
15786;1874;pol;Lviv;Ukraine;702550;49.83826;24.02324;1.0;UKR;;1815;Ukraine;
20068;1874;pol;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20697;1875;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
9433;1875;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10254;1875;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
19668;1876;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
19658;1876;ger;Leipzig;Germany;2879139;51.33962;12.37129;1.0;DEU;;1815;East Germany;
10092;1877;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
20725;1877;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
10777;1877;ger;Stuttgart;Germany;2825297;48.78232;9.17702;1.0;DEU;;1815;West Germany;
15443;1877;pol;Poznan;Poland;3088171;52.40692;16.92993;1.0;POL;;1815;Poland;
20726;1877;ger;Prague;Czechia;3067696;50.08804;14.42076;1.0;CZE;;1815;Czech Republic;
15444;1877;pol;Poznan;Poland;3088171;52.40692;16.92993;1.0;POL;;1815;Poland;
15445;1878;pol;Poznan;Poland;3088171;52.40692;16.92993;1.0;POL;;1815;Poland;
