,year,geonames_name,geonames_country,geonames_id,geonames_lat,geonames_lng,weight,country_codes,map_year,historical_coutry_name
15296,1862,Klagenfurt,Austria,2774326,46.62472,14.30528,1.0,AUT,1815,Austrian Empire
21221,1862,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
21222,1862,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
21997,1862,Litomyšl,Czechia,3071675,49.86809,16.31298,0.5,CZE,1815,Austrian Empire
21996,1862,Prague,Czechia,3067696,50.08804,14.42076,0.5,CZE,1815,Austrian Empire
19707,1862,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
19708,1862,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
24228,1862,Litomyšl,Czechia,3071675,49.86809,16.31298,0.5,CZE,1815,Austrian Empire
18849,1862,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
24227,1862,Prague,Czechia,3067696,50.08804,14.42076,0.5,CZE,1815,Austrian Empire
15049,1862,Litomyšl,Czechia,3071675,49.86809,16.31298,1.0,CZE,1815,Austrian Empire
16466,1863,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16458,1863,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15152,1863,Zagreb,Croatia,3186886,45.81444,15.97798,1.0,HRV,1815,Austrian Empire
16448,1863,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16457,1863,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15453,1864,Lviv,Ukraine,702550,49.83826,24.02324,1.0,UKR,1815,Austrian Empire
15451,1864,Klagenfurt,Austria,2774326,46.62472,14.30528,1.0,AUT,1815,Austrian Empire
14182,1865,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14211,1865,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16491,1865,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
25718,1865,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
3938,1866,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14200,1866,Bologna,Italy,3181928,44.49381,11.33875,1.0,ITA,1815,Papal States
10085,1866,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
13862,1867,Ljubljana,Slovenia,3196359,46.05108,14.50513,1.0,SVN,1815,Austrian Empire
18368,1867,Ljubljana,Slovenia,3196359,46.05108,14.50513,1.0,SVN,1815,Austrian Empire
18734,1869,Hradec Králové,Czechia,3074967,50.20923,15.83277,1.0,CZE,1815,Austrian Empire
14188,1869,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
10252,1869,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
14208,1870,St Petersburg,Russia,498817,59.93863,30.31413,1.0,RUS,1815,Russian Empire
9454,1870,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
9430,1870,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
20702,1870,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
10789,1870,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
20911,1870,St Petersburg,Russia,498817,59.93863,30.31413,1.0,RUS,1815,Russian Empire
9441,1870,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
15204,1871,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15438,1871,Ljubljana,Slovenia,3196359,46.05108,14.50513,1.0,SVN,1815,Austrian Empire
10253,1871,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9450,1872,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16483,1872,St Petersburg,Russia,498817,59.93863,30.31413,1.0,RUS,1815,Russian Empire
18795,1872,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1815,Russian Empire
16481,1872,St Petersburg,Russia,498817,59.93863,30.31413,1.0,RUS,1815,Russian Empire
10094,1872,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15787,1873,Lviv,Ukraine,702550,49.83826,24.02324,1.0,UKR,1815,Austrian Empire
16484,1873,Riga,Latvia,456172,56.946,24.10589,1.0,LVA,1815,Russian Empire
20083,1874,Ljubljana,Slovenia,3196359,46.05108,14.50513,1.0,SVN,1815,Austrian Empire
15447,1874,Kyiv,Ukraine,703448,50.45466,30.5238,1.0,UKR,1815,Russian Empire
15147,1874,Munich,Germany,2867714,48.13743,11.57549,1.0,DEU,1815,Bavaria
20060,1874,Kraljevica,Croatia,3197390,45.27395,14.5683,1.0,HRV,1815,Bavaria
15786,1874,Lviv,Ukraine,702550,49.83826,24.02324,1.0,UKR,1815,Austrian Empire
20068,1874,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20697,1875,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
9433,1875,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
10254,1875,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
19668,1876,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
19658,1876,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1815,Saxony
10092,1877,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
20725,1877,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
10777,1877,Stuttgart,Germany,2825297,48.78232,9.17702,1.0,DEU,1815,Württemberg
15443,1877,Poznan,Poland,3088171,52.40692,16.92993,1.0,POL,1815,Prussia
20726,1877,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
15444,1877,Poznan,Poland,3088171,52.40692,16.92993,1.0,POL,1815,Prussia
15445,1878,Poznan,Poland,3088171,52.40692,16.92993,1.0,POL,1815,Prussia
6544,1879,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16462,1879,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
16720,1879,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
10107,1879,St Petersburg,Russia,498817,59.93863,30.31413,1.0,RUS,1815,Russian Empire
20071,1879,Piotrkow Trybunalski,Poland,3088972,51.40547,19.70321,1.0,POL,1815,Russian Empire
10095,1879,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1815,Austrian Empire
19624,1880,Berlin,Germany,2950159,52.52437,13.41053,1.0,DEU,1880,Germany
10792,1880,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
13863,1880,Ljubljana,Slovenia,3196359,46.05108,14.50513,1.0,SVN,1880,Austria Hungary
4349,1880,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
20073,1880,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
10779,1880,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
27461,1880,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
2504,1880,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
4971,1881,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
16477,1881,Moscow,Russia,524901,55.75222,37.61556,1.0,RUS,1880,Russian Empire
4342,1881,Mladá Boleslav,Czechia,3070544,50.41135,14.90318,1.0,CZE,1880,Austria Hungary
3872,1881,Pančevo,Serbia,787237,44.87177,20.64167,1.0,SRB,1880,Austria Hungary
9818,1881,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
10255,1881,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
19637,1881,Berlin,Germany,2950159,52.52437,13.41053,1.0,DEU,1880,Germany
14818,1881,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
20946,1881,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
15442,1881,Moscow,Russia,524901,55.75222,37.61556,1.0,RUS,1880,Russian Empire
15448,1881,Moscow,Russia,524901,55.75222,37.61556,1.0,RUS,1880,Russian Empire
10782,1882,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
10793,1882,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
18036,1882,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
19712,1882,Litoměřice,Czechia,3071677,50.53348,14.1318,1.0,CZE,1880,Austria Hungary
21243,1882,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
9831,1883,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
24282,1883,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
26540,1883,Bautzen,Germany,2951881,51.18035,14.43494,1.0,DEU,1880,Germany
26539,1883,Bautzen,Germany,2951881,51.18035,14.43494,1.0,DEU,1880,Germany
27042,1883,Bautzen,Germany,2951881,51.18035,14.43494,1.0,DEU,1880,Germany
18953,1883,Hradec Králové,Czechia,3074967,50.20923,15.83277,1.0,CZE,1880,Austria Hungary
8619,1883,Kyiv,Ukraine,703448,50.45466,30.5238,1.0,UKR,1880,Russian Empire
10791,1883,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
8621,1883,Kyiv,Ukraine,703448,50.45466,30.5238,1.0,UKR,1880,Russian Empire
20332,1883,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
8620,1883,Kyiv,Ukraine,703448,50.45466,30.5238,1.0,UKR,1880,Russian Empire
10781,1883,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
3937,1884,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
14855,1884,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
10785,1884,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
3440,1884,Poznan,Poland,3088171,52.40692,16.92993,1.0,POL,1880,Germany
14881,1884,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
20333,1884,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
20942,1884,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
8584,1884,Kyiv,Ukraine,703448,50.45466,30.5238,1.0,UKR,1880,Russian Empire
25144,1884,London,United Kingdom,2643743,51.50853,-0.12574,1.0,GBR,1880,United Kingdom of Great Britain and Ireland
20278,1884,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
15446,1884,Moscow,Russia,524901,55.75222,37.61556,1.0,RUS,1880,Russian Empire
20971,1884,Ljubljana,Slovenia,3196359,46.05108,14.50513,1.0,SVN,1880,Austria Hungary
9830,1884,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
3423,1885,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
15200,1885,Sibiu,Romania,667268,45.8,24.15,1.0,ROU,1880,Romania
25414,1885,Vienna,Austria,2761369,48.20849,16.37208,0.5,AUT,1880,Austria Hungary
25413,1885,Prague,Czechia,3067696,50.08804,14.42076,0.5,CZE,1880,Austria Hungary
20963,1885,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
27334,1885,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
9891,1886,Trieste,Italy,3165185,45.64953,13.77678,1.0,ITA,1880,Austria Hungary
15772,1886,York,United Kingdom,2633352,53.95763,-1.08271,1.0,GBR,1880,United Kingdom of Great Britain and Ireland
20995,1886,York,United Kingdom,2633352,53.95763,-1.08271,1.0,GBR,1880,United Kingdom of Great Britain and Ireland
15767,1886,York,United Kingdom,2633352,53.95763,-1.08271,1.0,GBR,1880,United Kingdom of Great Britain and Ireland
4520,1886,Kutná Hora,Czechia,3072463,49.94839,15.26816,1.0,CZE,1880,Austria Hungary
3384,1886,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
4381,1886,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
26102,1886,New York,United States,5128581,40.71427,-74.00597,0.5,USA,1880,Austria Hungary
3360,1886,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
27240,1886,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
3427,1886,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
20455,1886,Warsaw,Poland,756135,52.22977,21.01178,1.0,POL,1880,Russian Empire
26103,1886,London,United Kingdom,2643743,51.50853,-0.12574,0.5,GBR,1880,United Kingdom of Great Britain and Ireland
10790,1886,Leipzig,Germany,2879139,51.33962,12.37129,1.0,DEU,1880,Germany
3373,1886,Prague,Czechia,3067696,50.08804,14.42076,1.0,CZE,1880,Austria Hungary
14867,1887,Vienna,Austria,2761369,48.20849,16.37208,1.0,AUT,1880,Austria Hungary
16478,1887,Moscow,Russia,524901,55.75222,37.61556,1.0,RUS,1880,Russian Empire
