,country,language,map_year,weights
495,Italy,chv,1967,1.0
496,Czechoslovakia,chv,1967,6.0
497,Cuba,spa,1967,5.0
498,Czechoslovakia,dut,1967,1.0
499,Austria,pol,1967,1.0
500,Czechoslovakia,srp,1967,1.0
501,Czechoslovakia,swe,1967,1.0
502,United States,ger,1967,1.5
503,East Germany,wen,1967,5.0
504,Panama,spa,1967,1.0
505,United Kingdom,dut,1967,1.0
506,East Germany,eng,1967,4.333333333333334
507,Greece,gre,1967,6.0
508,Ecuador,spa,1967,1.0
509,Switzerland,fry,1967,1.0
510,Romania,hun,1967,0.5
511,United Kingdom,ger,1967,4.5
512,Hungary,spa,1967,1.0
513,Czechoslovakia,bul,1967,4.0
514,Spain,epo,1967,1.0
515,West Germany,fre,1967,3.0
516,Portugal,por,1967,2.0
517,United Kingdom,fre,1967,2.5
518,USSR,uzb,1967,1.0
519,USSR,rum,1967,3.0
520,West Germany,slo,1967,2.0
521,USSR,kir,1967,1.0
522,Canada,pol,1967,2.0
523,Canada,sla,1967,2.0
524,Canada,ukr,1967,1.0
525,India,hin,1967,1.0
526,"Korea, Republic of",kor,1967,1.0
527,Netherlands,dan,1967,1.0
528,Chile,spa,1967,1.0
529,South Africa,afr,1967,3.0
530,United States,fre,1967,1.0
531,Spain,eng,1967,1.0
532,Czechoslovakia,slv,1967,1.0
533,East Germany,fre,1967,1.0
534,China,chi,1967,1.0
535,Czechoslovakia,fin,1967,1.0
536,West Germany,ita,1967,1.0
537,Colombia,spa,1967,2.0
538,Liechtenstein,ger,1967,2.0
539,Czechoslovakia,cat,1967,2.0
540,Venezuela,por,1967,1.0
541,Venezuela,spa,1967,1.0
542,Switzerland,rus,1967,1.0
543,Vietnam,vie,1967,1.0
544,Netherlands,ger,1967,0.3333333333333333
545,Mongolia,mon,1967,2.0
546,Czechoslovakia,jpn,1967,1.0
547,USSR,bel,1967,2.0
548,Austria,eng,1967,1.0
549,Switzerland,hrv,1967,1.0
550,Indonesia,ind,1967,2.0
551,South Africa,ger,1967,1.0
552,Hungary,slo,1967,0.5
553,Czechoslovakia,sla,1967,2.0
554,Spain,cat,1967,2.0
